Sorting Algorithm,Array Size,Generation Mode,Number of Runs,Average Time,Minimum Time,Maximum Time,Number of Comparisons,Number of Interchanges
Quick Sort,250,INVERSELY_SORTED,10,15910.0,14800.0,19600.0,1828,1232
Merge Sort,250,NEARLY_SORTED,10,35030.0,31300.0,43400.0,1686,1994
Bubble Sort,250,NEARLY_SORTED,10,100950.0,69400.0,305100.0,30954,15218
Insertion Sort,250,NEARLY_SORTED,10,13030.0,10600.0,24400.0,15463,15218
Selection Sort,250,NEARLY_SORTED,10,53970.0,32000.0,186200.0,31125,250
Heap Sort,250,NEARLY_SORTED,10,17710.0,13800.0,30200.0,5135,1781
Quick Sort,250,NEARLY_SORTED,10,20050.0,17800.0,22500.0,1880,1212
Merge Sort,250,RANDOM,10,45320.0,29300.0,115200.0,1685,1994
Bubble Sort,250,RANDOM,10,87210.0,66500.0,126700.0,31020,16144
Insertion Sort,250,RANDOM,10,15120.0,13800.0,17200.0,16389,16144
Selection Sort,250,RANDOM,10,45760.0,41300.0,52200.0,31125,250
Heap Sort,250,RANDOM,10,20000.0,15700.0,30300.0,5106,1772
Quick Sort,250,RANDOM,10,20340.0,19300.0,22400.0,2545,1894
Merge Sort,250,SORTED,10,33020.0,27300.0,49500.0,1011,1994
Bubble Sort,250,SORTED,10,330.0,300.0,600.0,249,0
Insertion Sort,250,SORTED,10,930.0,900.0,1200.0,249,0
Selection Sort,250,SORTED,10,60260.0,38400.0,246400.0,31125,250
Heap Sort,250,SORTED,10,24250.0,22000.0,26900.0,5417,1928
Quick Sort,250,SORTED,10,14950.0,13500.0,18400.0,2070,1364
Merge Sort,250,INVERSELY_SORTED,10,28790.0,25600.0,32100.0,983,1994
Bubble Sort,250,INVERSELY_SORTED,10,43900.0,43400.0,45700.0,31125,31125
Insertion Sort,250,INVERSELY_SORTED,10,26940.0,25100.0,29300.0,31125,31125
Selection Sort,250,INVERSELY_SORTED,10,48610.0,43400.0,52700.0,31125,250
Heap Sort,250,INVERSELY_SORTED,10,25190.0,13700.0,105400.0,4724,1591
Quick Sort,250,INVERSELY_SORTED,10,16490.0,15500.0,19200.0,1997,1276
Merge Sort,250,NEARLY_SORTED,10,49690.0,45200.0,61400.0,1661,1994
Bubble Sort,250,NEARLY_SORTED,10,87980.0,79200.0,108600.0,30989,16155
Insertion Sort,250,NEARLY_SORTED,10,14840.0,13700.0,16300.0,16397,16155
Selection Sort,250,NEARLY_SORTED,10,44860.0,40600.0,53200.0,31125,250
Heap Sort,250,NEARLY_SORTED,10,19740.0,16100.0,30200.0,5096,1758
Quick Sort,250,NEARLY_SORTED,10,22270.0,18900.0,37900.0,2053,1332
Merge Sort,500,RANDOM,10,79260.0,72600.0,90800.0,3844,4488
Bubble Sort,500,RANDOM,10,365880.0,357100.0,373100.0,124597,64678
Insertion Sort,500,RANDOM,10,52170.0,47100.0,55400.0,65174,64678
Selection Sort,500,RANDOM,10,164870.0,135400.0,184500.0,124750,500
Heap Sort,500,RANDOM,10,59680.0,58800.0,60800.0,11757,4066
Quick Sort,500,RANDOM,10,43640.0,41300.0,46400.0,6206,4226
Merge Sort,500,SORTED,10,77640.0,53800.0,260700.0,2272,4488
Bubble Sort,500,SORTED,10,590.0,500.0,1200.0,499,0
Insertion Sort,500,SORTED,10,1660.0,1500.0,1900.0,499,0
Selection Sort,500,SORTED,10,135490.0,125200.0,142700.0,124750,500
Heap Sort,500,SORTED,10,41950.0,36400.0,53000.0,12361,4354
Quick Sort,500,SORTED,10,29040.0,27000.0,35000.0,4321,2763
Merge Sort,500,INVERSELY_SORTED,10,55800.0,48700.0,60400.0,2216,4488
Bubble Sort,500,INVERSELY_SORTED,10,175130.0,171200.0,181600.0,124750,124750
Insertion Sort,500,INVERSELY_SORTED,10,110390.0,102000.0,151400.0,124750,124750
Selection Sort,500,INVERSELY_SORTED,10,187090.0,176800.0,216700.0,124750,500
Heap Sort,500,INVERSELY_SORTED,10,47450.0,43300.0,54900.0,10937,3676
Quick Sort,500,INVERSELY_SORTED,10,54080.0,32500.0,229800.0,4885,3228
Merge Sort,500,NEARLY_SORTED,10,86740.0,76100.0,100600.0,3857,4488
Bubble Sort,500,NEARLY_SORTED,10,6095590.0,346600.0,5.76696E7,123669,65476
Insertion Sort,500,NEARLY_SORTED,10,47010.0,39800.0,49200.0,65971,65476
Selection Sort,500,NEARLY_SORTED,10,143570.0,133900.0,154100.0,124750,500
Heap Sort,500,NEARLY_SORTED,10,47960.0,41800.0,60000.0,11699,4033
Quick Sort,500,NEARLY_SORTED,10,42950.0,38000.0,47300.0,4952,2793
Merge Sort,500,RANDOM,10,85390.0,70300.0,98000.0,3864,4488
Bubble Sort,500,RANDOM,10,429150.0,342600.0,481500.0,124672,61717
Insertion Sort,500,RANDOM,10,59300.0,57900.0,62700.0,62210,61717
Selection Sort,500,RANDOM,10,171130.0,167500.0,178500.0,124750,500
Heap Sort,500,RANDOM,10,53640.0,49400.0,64000.0,11714,4045
Quick Sort,500,RANDOM,10,42960.0,41600.0,46600.0,4889,2477
Merge Sort,500,SORTED,10,57010.0,51500.0,65400.0,2272,4488
Bubble Sort,500,SORTED,10,580.0,500.0,1000.0,499,0
Insertion Sort,500,SORTED,10,1790.0,1500.0,2100.0,499,0
Selection Sort,500,SORTED,10,131770.0,116300.0,147500.0,124750,500
Heap Sort,500,SORTED,10,45280.0,37600.0,59100.0,12358,4354
Quick Sort,500,SORTED,10,44360.0,26200.0,175800.0,4758,2857
Merge Sort,500,INVERSELY_SORTED,10,59370.0,56100.0,65700.0,2218,4488
Bubble Sort,500,INVERSELY_SORTED,10,647050.0,178500.0,2920800.0,124750,124747
Insertion Sort,500,INVERSELY_SORTED,10,118360.0,84400.0,240900.0,124750,124747
Selection Sort,500,INVERSELY_SORTED,10,194990.0,165300.0,210100.0,124750,500
Heap Sort,500,INVERSELY_SORTED,10,60340.0,39400.0,161900.0,10942,3679
Quick Sort,500,INVERSELY_SORTED,10,33820.0,31000.0,39200.0,5259,3463
Merge Sort,500,NEARLY_SORTED,10,82290.0,70500.0,99800.0,3855,4488
Bubble Sort,500,NEARLY_SORTED,10,845760.0,361600.0,4486500.0,124315,59416
Insertion Sort,500,NEARLY_SORTED,10,51980.0,38500.0,94500.0,59909,59416
Selection Sort,500,NEARLY_SORTED,10,165380.0,152000.0,174100.0,124750,500
Heap Sort,500,NEARLY_SORTED,10,56830.0,50600.0,69200.0,11793,4068
Quick Sort,500,NEARLY_SORTED,10,44490.0,42500.0,47500.0,4930,3426
Merge Sort,500,RANDOM,10,92210.0,80100.0,122200.0,3862,4488
Bubble Sort,500,RANDOM,10,380690.0,358600.0,501600.0,124084,64033
Insertion Sort,500,RANDOM,10,52980.0,45000.0,64800.0,64529,64033
Selection Sort,500,RANDOM,10,168480.0,162100.0,171600.0,124750,500
Heap Sort,500,RANDOM,10,77260.0,57000.0,159700.0,11704,4023
Quick Sort,500,RANDOM,10,43620.0,40900.0,46700.0,4559,3121
Merge Sort,500,SORTED,10,52610.0,48400.0,56900.0,2272,4488
Bubble Sort,500,SORTED,10,590.0,500.0,1100.0,499,0
Insertion Sort,500,SORTED,10,1580.0,1000.0,4400.0,499,0
Selection Sort,500,SORTED,10,181120.0,86200.0,555200.0,124750,500
Heap Sort,500,SORTED,10,63710.0,35300.0,182900.0,12362,4355
Quick Sort,500,SORTED,10,39580.0,27200.0,48700.0,5568,2844
Merge Sort,500,INVERSELY_SORTED,10,90350.0,60500.0,161700.0,2217,4488
Bubble Sort,500,INVERSELY_SORTED,10,173310.0,168700.0,179500.0,124750,124747
Insertion Sort,500,INVERSELY_SORTED,10,106230.0,99100.0,111900.0,124750,124747
Selection Sort,500,INVERSELY_SORTED,10,269090.0,165800.0,912600.0,124750,500
Heap Sort,500,INVERSELY_SORTED,10,176140.0,31600.0,1094800.0,10937,3676
Quick Sort,500,INVERSELY_SORTED,10,40050.0,32900.0,52400.0,4776,2525
Merge Sort,500,NEARLY_SORTED,10,99670.0,69100.0,156600.0,3868,4488
Bubble Sort,500,NEARLY_SORTED,10,378440.0,346000.0,427100.0,124705,57923
Insertion Sort,500,NEARLY_SORTED,10,49640.0,40800.0,57300.0,58411,57923
Selection Sort,500,NEARLY_SORTED,10,9524010.0,117700.0,9.40134E7,124750,500
Heap Sort,500,NEARLY_SORTED,10,145840.0,54800.0,539000.0,11734,4060
Quick Sort,500,NEARLY_SORTED,10,41230.0,38300.0,45400.0,5034,3364
Merge Sort,500,RANDOM,10,77130.0,65800.0,92100.0,3844,4488
Bubble Sort,500,RANDOM,10,424180.0,346500.0,681400.0,124722,60755
Insertion Sort,500,RANDOM,10,51920.0,47800.0,56600.0,61249,60755
Selection Sort,500,RANDOM,10,158040.0,149500.0,163300.0,124750,500
Heap Sort,500,RANDOM,10,74700.0,35800.0,348100.0,11722,4042
Quick Sort,500,RANDOM,10,39770.0,34500.0,44300.0,4380,3185
Merge Sort,500,SORTED,10,51220.0,48300.0,59100.0,2272,4488
Bubble Sort,500,SORTED,10,590.0,500.0,1300.0,499,0
Insertion Sort,500,SORTED,10,1620.0,1300.0,1900.0,499,0
Selection Sort,500,SORTED,10,132190.0,117300.0,147500.0,124750,500
Heap Sort,500,SORTED,10,38730.0,35400.0,45400.0,12361,4354
Quick Sort,500,SORTED,10,30890.0,26700.0,50900.0,4903,3382
Merge Sort,500,INVERSELY_SORTED,10,54830.0,45900.0,67400.0,2217,4488
Bubble Sort,500,INVERSELY_SORTED,10,174960.0,173400.0,182100.0,124750,124747
Insertion Sort,500,INVERSELY_SORTED,10,103880.0,97500.0,110900.0,124750,124747
Selection Sort,500,INVERSELY_SORTED,10,187200.0,175300.0,191900.0,124750,500
Heap Sort,500,INVERSELY_SORTED,10,35970.0,31800.0,46500.0,10943,3680
Quick Sort,500,INVERSELY_SORTED,10,32480.0,28400.0,38300.0,4980,2689
Merge Sort,500,NEARLY_SORTED,10,74680.0,60600.0,91000.0,3842,4488
Bubble Sort,500,NEARLY_SORTED,10,355200.0,350100.0,362000.0,124659,60648
Insertion Sort,500,NEARLY_SORTED,10,58780.0,52700.0,94900.0,61140,60648
Selection Sort,500,NEARLY_SORTED,10,168330.0,162100.0,178300.0,124750,500
Heap Sort,500,NEARLY_SORTED,10,61830.0,37500.0,229000.0,11724,4037
Quick Sort,500,NEARLY_SORTED,10,43170.0,41900.0,45400.0,5117,3825
Merge Sort,500,RANDOM,10,112920.0,66000.0,408000.0,3858,4488
Bubble Sort,500,RANDOM,10,532940.0,363000.0,1356800.0,124597,63983
Insertion Sort,500,RANDOM,10,51370.0,44900.0,55700.0,64476,63983
Selection Sort,500,RANDOM,10,171550.0,163000.0,176300.0,124750,500
Heap Sort,500,RANDOM,10,65990.0,42600.0,236200.0,11715,4037
Quick Sort,500,RANDOM,10,43660.0,38400.0,47900.0,4437,3060
Merge Sort,500,SORTED,10,92220.0,48400.0,405500.0,2272,4488
Bubble Sort,500,SORTED,10,630.0,500.0,1200.0,499,0
Insertion Sort,500,SORTED,10,1720.0,1400.0,2200.0,499,0
Selection Sort,500,SORTED,10,146710.0,127100.0,223400.0,124750,500
Heap Sort,500,SORTED,10,38760.0,34700.0,45500.0,12332,4335
Quick Sort,500,SORTED,10,28820.0,26600.0,33700.0,5093,2673
Merge Sort,500,INVERSELY_SORTED,10,55910.0,51300.0,66400.0,2216,4488
Bubble Sort,500,INVERSELY_SORTED,10,310430.0,187900.0,952000.0,124750,124750
Insertion Sort,500,INVERSELY_SORTED,10,251580.0,79100.0,1576300.0,124750,124750
Selection Sort,500,INVERSELY_SORTED,10,205450.0,186800.0,312000.0,124750,500
Heap Sort,500,INVERSELY_SORTED,10,34330.0,31800.0,41900.0,10937,3676
Quick Sort,500,INVERSELY_SORTED,10,33460.0,31300.0,40600.0,5031,3083
Merge Sort,500,NEARLY_SORTED,10,129910.0,70900.0,588400.0,3843,4488
Bubble Sort,500,NEARLY_SORTED,10,364220.0,347900.0,443600.0,124222,62198
Insertion Sort,500,NEARLY_SORTED,10,1362630.0,42800.0,1.31672E7,62689,62198
Selection Sort,500,NEARLY_SORTED,10,145400.0,105600.0,177600.0,124750,500
Heap Sort,500,NEARLY_SORTED,10,43540.0,36000.0,59300.0,11691,4028
Quick Sort,500,NEARLY_SORTED,10,43800.0,41300.0,52400.0,4545,2981
Merge Sort,500,RANDOM,10,88660.0,69600.0,135200.0,3853,4488
Bubble Sort,500,RANDOM,10,446530.0,357700.0,1041700.0,124659,61608
Insertion Sort,500,RANDOM,10,60570.0,35700.0,171800.0,62103,61608
Selection Sort,500,RANDOM,10,194120.0,114100.0,400200.0,124750,500
Heap Sort,500,RANDOM,10,47880.0,39200.0,71000.0,11678,4035
Quick Sort,500,RANDOM,10,244690.0,40600.0,1929100.0,4491,3150
Merge Sort,500,SORTED,10,53980.0,42000.0,94400.0,2272,4488
Bubble Sort,500,SORTED,10,610.0,500.0,1400.0,499,0
Insertion Sort,500,SORTED,10,1400.0,1100.0,2500.0,499,0
Selection Sort,500,SORTED,10,1873320.0,86500.0,1.76305E7,124750,500
Heap Sort,500,SORTED,10,37040.0,32700.0,43400.0,12349,4346
Quick Sort,500,SORTED,10,27630.0,23700.0,34100.0,5110,3296
Merge Sort,500,INVERSELY_SORTED,10,61070.0,49900.0,94900.0,2216,4488
Bubble Sort,500,INVERSELY_SORTED,10,294990.0,183700.0,762200.0,124750,124750
Insertion Sort,500,INVERSELY_SORTED,10,95460.0,82900.0,124500.0,124750,124750
Selection Sort,500,INVERSELY_SORTED,10,180860.0,169500.0,189300.0,124750,500
Heap Sort,500,INVERSELY_SORTED,10,33530.0,28900.0,42900.0,10937,3676
Quick Sort,500,INVERSELY_SORTED,10,34290.0,29900.0,54300.0,4936,3325
Merge Sort,500,NEARLY_SORTED,10,70290.0,60700.0,87400.0,3871,4488
Bubble Sort,500,NEARLY_SORTED,10,925260.0,346700.0,5716800.0,124189,64306
Insertion Sort,500,NEARLY_SORTED,10,51020.0,45400.0,53000.0,64801,64306
Selection Sort,500,NEARLY_SORTED,10,146890.0,137900.0,151800.0,124750,500
Heap Sort,500,NEARLY_SORTED,10,39320.0,34100.0,50800.0,11718,4032
Quick Sort,500,NEARLY_SORTED,10,40600.0,37000.0,44700.0,4924,3500
Merge Sort,500,RANDOM,10,73950.0,66300.0,86000.0,3827,4488
Bubble Sort,500,RANDOM,10,461210.0,401800.0,548800.0,124560,61989
Insertion Sort,500,RANDOM,10,65950.0,41100.0,230100.0,62486,61989
Selection Sort,500,RANDOM,10,151640.0,139500.0,189400.0,124750,500
Heap Sort,500,RANDOM,10,38820.0,31800.0,52900.0,11684,4034
Quick Sort,500,RANDOM,10,41040.0,39900.0,44200.0,4802,2647
Merge Sort,500,SORTED,10,65350.0,46300.0,78200.0,2272,4488
Bubble Sort,500,SORTED,10,590.0,500.0,1100.0,499,0
Insertion Sort,500,SORTED,10,1450.0,1300.0,1800.0,499,0
Selection Sort,500,SORTED,10,121590.0,105600.0,140900.0,124750,500
Heap Sort,500,SORTED,10,40900.0,32000.0,49700.0,12362,4355
Quick Sort,500,SORTED,10,29120.0,26100.0,36000.0,4756,2890
Merge Sort,500,INVERSELY_SORTED,10,53920.0,49800.0,63000.0,2216,4488
Bubble Sort,500,INVERSELY_SORTED,10,303540.0,173100.0,1406500.0,124750,124750
Insertion Sort,500,INVERSELY_SORTED,10,103240.0,87100.0,121200.0,124750,124750
Selection Sort,500,INVERSELY_SORTED,10,4871180.0,189200.0,4.05171E7,124750,500
Heap Sort,500,INVERSELY_SORTED,10,539690.0,32600.0,4960700.0,10937,3676
Quick Sort,500,INVERSELY_SORTED,10,33990.0,29200.0,45500.0,5568,3572
Merge Sort,500,NEARLY_SORTED,10,135730.0,76100.0,597800.0,3873,4488
Bubble Sort,500,NEARLY_SORTED,10,361530.0,350800.0,374000.0,124120,59332
Insertion Sort,500,NEARLY_SORTED,10,53240.0,50000.0,57200.0,59826,59332
Selection Sort,500,NEARLY_SORTED,10,167860.0,159300.0,178000.0,124750,500
Heap Sort,500,NEARLY_SORTED,10,44450.0,40200.0,58200.0,11734,4056
Quick Sort,500,NEARLY_SORTED,10,58370.0,36900.0,158200.0,4776,3021
Merge Sort,500,RANDOM,10,103470.0,87700.0,182000.0,3851,4488
Bubble Sort,500,RANDOM,10,558030.0,354200.0,2123000.0,124560,63618
Insertion Sort,500,RANDOM,10,84900.0,54900.0,323200.0,64112,63618
Selection Sort,500,RANDOM,10,172230.0,160700.0,181100.0,124750,500
Heap Sort,500,RANDOM,10,43030.0,33600.0,56400.0,11746,4051
Quick Sort,500,RANDOM,10,43090.0,37700.0,62700.0,5062,3344
Merge Sort,500,SORTED,10,69730.0,46600.0,179600.0,2272,4488
Bubble Sort,500,SORTED,10,580.0,400.0,1400.0,499,0
Insertion Sort,500,SORTED,10,1280.0,1000.0,1700.0,499,0
Selection Sort,500,SORTED,10,148000.0,103100.0,207400.0,124750,500
Heap Sort,500,SORTED,10,43230.0,39900.0,47700.0,12356,4351
Quick Sort,500,SORTED,10,30340.0,27600.0,36600.0,4716,2858
Merge Sort,500,INVERSELY_SORTED,10,3459120.0,48200.0,3.40667E7,2216,4488
Bubble Sort,500,INVERSELY_SORTED,10,249150.0,201300.0,318200.0,124750,124750
Insertion Sort,500,INVERSELY_SORTED,10,1001740.0,70300.0,9129500.0,124750,124750
Selection Sort,500,INVERSELY_SORTED,10,194340.0,190000.0,198300.0,124750,500
Heap Sort,500,INVERSELY_SORTED,10,53860.0,34500.0,154100.0,10937,3676
Quick Sort,500,INVERSELY_SORTED,10,293610.0,30000.0,1923200.0,4705,2715
Merge Sort,500,NEARLY_SORTED,10,273810.0,67300.0,1519400.0,3853,4488
Bubble Sort,500,NEARLY_SORTED,10,354650.0,349700.0,360300.0,122734,61946
Insertion Sort,500,NEARLY_SORTED,10,55920.0,52900.0,57700.0,62439,61946
Selection Sort,500,NEARLY_SORTED,10,183090.0,163500.0,261200.0,124750,500
Heap Sort,500,NEARLY_SORTED,10,49080.0,43600.0,62400.0,11706,4039
Quick Sort,500,NEARLY_SORTED,10,43650.0,42300.0,47200.0,4849,3007
Merge Sort,500,RANDOM,10,90890.0,81200.0,106800.0,3863,4488
Bubble Sort,500,RANDOM,10,665080.0,349600.0,2152800.0,123669,60804
Insertion Sort,500,RANDOM,10,56340.0,48500.0,63400.0,61297,60804
Selection Sort,500,RANDOM,10,210490.0,168600.0,534300.0,124750,500
Heap Sort,500,RANDOM,10,46330.0,39100.0,64700.0,11770,4058
Quick Sort,500,RANDOM,10,48010.0,40900.0,88800.0,4710,3047
Merge Sort,500,SORTED,10,58110.0,55500.0,65100.0,2272,4488
Bubble Sort,500,SORTED,10,590.0,500.0,1100.0,499,0
Insertion Sort,500,SORTED,10,1840.0,1800.0,2200.0,499,0
Selection Sort,500,SORTED,10,686990.0,100400.0,4568000.0,124750,500
Heap Sort,500,SORTED,10,42320.0,35600.0,50600.0,12361,4354
Quick Sort,500,SORTED,10,30890.0,28000.0,41300.0,4761,3146
Merge Sort,500,INVERSELY_SORTED,10,62130.0,58200.0,82200.0,2217,4488
Bubble Sort,500,INVERSELY_SORTED,10,183790.0,175200.0,215900.0,124750,124748
Insertion Sort,500,INVERSELY_SORTED,10,74320.0,68000.0,80900.0,124750,124748
Selection Sort,500,INVERSELY_SORTED,10,214080.0,174100.0,257600.0,124750,500
Heap Sort,500,INVERSELY_SORTED,10,34980.0,30500.0,45000.0,10934,3675
Quick Sort,500,INVERSELY_SORTED,10,32710.0,31300.0,37400.0,4629,2926
Merge Sort,500,NEARLY_SORTED,10,99070.0,76100.0,270600.0,3849,4488
Bubble Sort,500,NEARLY_SORTED,10,371080.0,350900.0,414000.0,124540,62181
Insertion Sort,500,NEARLY_SORTED,10,40270.0,35600.0,52200.0,62668,62181
Selection Sort,500,NEARLY_SORTED,10,137790.0,114800.0,185300.0,124750,500
Heap Sort,500,NEARLY_SORTED,10,34860.0,27900.0,50400.0,11708,4037
Quick Sort,500,NEARLY_SORTED,10,59450.0,44600.0,78400.0,5135,2763
Merge Sort,500,RANDOM,10,100600.0,81700.0,128200.0,3847,4488
Bubble Sort,500,RANDOM,10,378550.0,344900.0,476100.0,124474,62634
Insertion Sort,500,RANDOM,10,51650.0,48900.0,55000.0,63133,62634
Selection Sort,500,RANDOM,10,256220.0,114300.0,847900.0,124750,500
Heap Sort,500,RANDOM,10,73570.0,40500.0,357000.0,11772,4059
Quick Sort,500,RANDOM,10,58990.0,35300.0,183500.0,4683,3553
Merge Sort,500,SORTED,10,56340.0,49400.0,71000.0,2272,4488
Bubble Sort,500,SORTED,10,630.0,500.0,1400.0,499,0
Insertion Sort,500,SORTED,10,1740.0,1500.0,2200.0,499,0
Selection Sort,500,SORTED,10,141780.0,117600.0,150300.0,124750,500
Heap Sort,500,SORTED,10,40440.0,36000.0,47000.0,12361,4354
Quick Sort,500,SORTED,10,34020.0,26200.0,56800.0,5541,3727
Merge Sort,500,INVERSELY_SORTED,10,61220.0,56900.0,83200.0,2216,4488
Bubble Sort,500,INVERSELY_SORTED,10,203310.0,174700.0,363300.0,124750,124750
Insertion Sort,500,INVERSELY_SORTED,10,3925010.0,71000.0,3.84817E7,124750,124750
Selection Sort,500,INVERSELY_SORTED,10,192500.0,150200.0,348400.0,124750,500
Heap Sort,500,INVERSELY_SORTED,10,32460.0,24200.0,39300.0,10937,3676
Quick Sort,500,INVERSELY_SORTED,10,250240.0,32700.0,2110200.0,4385,2603
Merge Sort,500,NEARLY_SORTED,10,139420.0,74300.0,247500.0,3847,4488
Bubble Sort,500,NEARLY_SORTED,10,1605370.0,359500.0,6329600.0,124399,66584
Insertion Sort,500,NEARLY_SORTED,10,47880.0,42100.0,51600.0,67074,66584
Selection Sort,500,NEARLY_SORTED,10,153690.0,109200.0,164400.0,124750,500
Heap Sort,500,NEARLY_SORTED,10,41370.0,36700.0,54400.0,11716,4033
Quick Sort,500,NEARLY_SORTED,10,43160.0,41400.0,46900.0,5171,3001
Merge Sort,1000,RANDOM,10,1090730.0,182200.0,8620100.0,8710,9976
Bubble Sort,1000,RANDOM,10,1528940.0,1207000.0,2270600.0,499364,248810
Insertion Sort,1000,RANDOM,10,249840.0,175100.0,382700.0,249804,248810
Selection Sort,1000,RANDOM,10,604980.0,546500.0,790800.0,499500,1000
Heap Sort,1000,RANDOM,10,107630.0,102300.0,114500.0,26498,9105
Quick Sort,1000,RANDOM,10,90900.0,88100.0,96100.0,11683,7862
Merge Sort,1000,SORTED,10,136380.0,127900.0,174500.0,5044,9976
Bubble Sort,1000,SORTED,10,1130.0,1000.0,1600.0,999,0
Insertion Sort,1000,SORTED,10,3410.0,3300.0,3800.0,999,0
Selection Sort,1000,SORTED,10,648380.0,327600.0,1796800.0,499500,1000
Heap Sort,1000,SORTED,10,140660.0,90800.0,295100.0,27780,9705
Quick Sort,1000,SORTED,10,106600.0,54000.0,314700.0,10109,6464
Merge Sort,1000,INVERSELY_SORTED,10,138350.0,114400.0,171500.0,4933,9976
Bubble Sort,1000,INVERSELY_SORTED,10,979460.0,698600.0,1698900.0,499500,499496
Insertion Sort,1000,INVERSELY_SORTED,10,385100.0,317500.0,492500.0,499500,499496
Selection Sort,1000,INVERSELY_SORTED,10,770400.0,636400.0,1137400.0,499500,1000
Heap Sort,1000,INVERSELY_SORTED,10,91050.0,76300.0,104000.0,24785,8319
Quick Sort,1000,INVERSELY_SORTED,10,102540.0,60900.0,233900.0,11204,7533
Merge Sort,1000,NEARLY_SORTED,10,234190.0,147200.0,508000.0,8692,9976
Bubble Sort,1000,NEARLY_SORTED,10,1540630.0,1320100.0,2016100.0,498720,249571
Insertion Sort,1000,NEARLY_SORTED,10,199170.0,137900.0,340700.0,250561,249571
Selection Sort,1000,NEARLY_SORTED,10,553270.0,454700.0,662100.0,499500,1000
Heap Sort,1000,NEARLY_SORTED,10,113550.0,98800.0,122400.0,26387,9042
Quick Sort,1000,NEARLY_SORTED,10,168440.0,85000.0,745200.0,10598,6651
Merge Sort,1000,RANDOM,10,419120.0,179500.0,1621000.0,8689,9976
Bubble Sort,1000,RANDOM,10,1699160.0,1239800.0,3605800.0,499175,255157
Insertion Sort,1000,RANDOM,10,200610.0,180900.0,230500.0,256150,255157
Selection Sort,1000,RANDOM,10,632530.0,455600.0,1302900.0,499500,1000
Heap Sort,1000,RANDOM,10,95630.0,85000.0,111600.0,26399,9069
Quick Sort,1000,RANDOM,10,85690.0,79600.0,93800.0,11615,6707
Merge Sort,1000,SORTED,10,109910.0,91600.0,153400.0,5044,9976
Bubble Sort,1000,SORTED,10,1040.0,900.0,1600.0,999,0
Insertion Sort,1000,SORTED,10,2290.0,2000.0,2800.0,999,0
Selection Sort,1000,SORTED,10,547840.0,403000.0,931700.0,499500,1000
Heap Sort,1000,SORTED,10,92640.0,84000.0,99300.0,27785,9708
Quick Sort,1000,SORTED,10,64660.0,52800.0,94400.0,10633,6648
Merge Sort,1000,INVERSELY_SORTED,10,126830.0,116400.0,146100.0,4933,9976
Bubble Sort,1000,INVERSELY_SORTED,10,722280.0,684900.0,766400.0,499500,499494
Insertion Sort,1000,INVERSELY_SORTED,10,372840.0,338700.0,420100.0,499500,499494
Selection Sort,1000,INVERSELY_SORTED,10,812460.0,517400.0,2038600.0,499500,1000
Heap Sort,1000,INVERSELY_SORTED,10,61630.0,55300.0,75800.0,24780,8315
Quick Sort,1000,INVERSELY_SORTED,10,57560.0,45200.0,135900.0,10557,7082
Merge Sort,1000,NEARLY_SORTED,10,206040.0,184600.0,230400.0,8725,9976
Bubble Sort,1000,NEARLY_SORTED,10,1596430.0,1126600.0,1990300.0,499224,258789
Insertion Sort,1000,NEARLY_SORTED,10,204100.0,178300.0,225600.0,259782,258789
Selection Sort,1000,NEARLY_SORTED,10,457860.0,362300.0,642300.0,499500,1000
Heap Sort,1000,NEARLY_SORTED,10,156300.0,94100.0,515300.0,26425,9082
Quick Sort,1000,NEARLY_SORTED,10,112310.0,80800.0,302600.0,10827,6255
Merge Sort,1000,RANDOM,10,177320.0,133300.0,224300.0,8694,9976
Bubble Sort,1000,RANDOM,10,1375660.0,1188700.0,1713700.0,498797,252079
Insertion Sort,1000,RANDOM,10,127680.0,119400.0,159700.0,253068,252079
Selection Sort,1000,RANDOM,10,570270.0,405300.0,1211100.0,499500,1000
Heap Sort,1000,RANDOM,10,104090.0,82100.0,118200.0,26372,9068
Quick Sort,1000,RANDOM,10,88150.0,77500.0,103100.0,10622,7307
Merge Sort,1000,SORTED,10,115040.0,91600.0,140500.0,5044,9976
Bubble Sort,1000,SORTED,10,1110.0,1000.0,1700.0,999,0
Insertion Sort,1000,SORTED,10,2630.0,2200.0,3700.0,999,0
Selection Sort,1000,SORTED,10,498010.0,334500.0,863400.0,499500,1000
Heap Sort,1000,SORTED,10,61360.0,58400.0,66400.0,27792,9708
Quick Sort,1000,SORTED,10,47640.0,39200.0,61200.0,10541,6857
Merge Sort,1000,INVERSELY_SORTED,10,121560.0,93800.0,300800.0,4935,9976
Bubble Sort,1000,INVERSELY_SORTED,10,940280.0,709200.0,2086900.0,499500,499494
Insertion Sort,1000,INVERSELY_SORTED,10,372030.0,270600.0,453700.0,499500,499494
Selection Sort,1000,INVERSELY_SORTED,10,599360.0,486500.0,774900.0,499500,1000
Heap Sort,1000,INVERSELY_SORTED,10,86620.0,81100.0,97100.0,24806,8327
Quick Sort,1000,INVERSELY_SORTED,10,70480.0,63000.0,78600.0,11476,6358
Merge Sort,1000,NEARLY_SORTED,10,207730.0,151500.0,243800.0,8695,9976
Bubble Sort,1000,NEARLY_SORTED,10,1487380.0,1346600.0,1719800.0,499347,252262
Insertion Sort,1000,NEARLY_SORTED,10,211550.0,200900.0,228700.0,253247,252262
